category,sub-category,sub-category-link,title,author,keywords
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Sinking Pisa: The Decline of a Commercial Empire in the Thirteenth Century,Matthew E Parker,"['Economic History', 'Medieval History', 'Social Network Analysis (SNA)', 'Italy', 'Pisa']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,ESOP * The Epigraphic Society Occasional Papers * Volume 25 136 Hovenweep Inscription,Donal Buchanan,['Ancient History']
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,Vol 1 CH 2 at the Heart of Fort Ancient,Robert Riordan,"['Ancient History', 'Archaeology', 'Hopewell']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,Proof of Authenticity of the Sinaia Tablets Writing,Constantin Olariu  Arimin,['Ancient History']
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,Making sense of palaeoclimate sensitivity,H. Hooghiemstra,"['Ancient History', 'Environmental policy', 'Carbon Dioxide', 'Climate', 'Ancient Greek History', 'Multidisciplinary', 'Probability', 'Nature', 'Global Warming', 'Calibration', 'Temperature', 'Feedback', 'Theoretical Models', 'Time Factors', 'Reproducibility of Results']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,"Frühes Christentum in Kärnten. Carinthia I 161 (1971), 3-33 [= Landesmuseum für Kärnten, Frühes Christentum in Kärnten. Sonderausstellung vom 15. Juli bis 15. Oktober 1971, Begleitheft (Klagenfurt 1971)].",Gernot  Piccottini (1941-2018),"['Religion', 'Ancient History', 'Cultural History', 'Cultural Studies', 'Archaeology', 'Classical Archaeology', 'Classics', 'Historical Archaeology', 'History of Religion', 'Cultural Heritage', 'Material Culture Studies', 'Material culture of religion', 'Early Church', 'Late Antique Archaeology', 'Early Christianity', 'Ancient Religion', 'Late Antiquity', 'Church architecture', 'Roman Small Finds', 'Early Christian Mosaics', 'Noricum', 'Roman Archaeology']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,"C. TADDEI FERRETTI, Ipazia di Alessandria e Sinesio di Cirene. Un rapporto interculturale, Il Pozzo di Giacobbe, Trapani 2018","Istituto di Storia del Cristianesimo ""Cataldo Naro""","['Christianity', 'History', 'Ancient History', ""Women's Studies"", ""Women's History"", 'History of Christianity', 'Early Church', 'Early Christianity', 'Women in the ancient world', 'Church History', ""Women's and gender history"", 'Early Church History', 'Storia della chiesa', 'Paganism and Christianism', ""Gender and Women's Studies"", 'Ipazia', 'Women in the Early Church', 'History of Christian Thought', 'Womens History']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,"La città di Roma nel disegno di riordinamento politico e amministrativo di Giustiniano, Aracne Editrice, Roma 2012 (con Gianluca Pilara)",Massimiliano Ghilardi,"['History', 'Ancient History', 'Archaeology', 'Roman History', 'Late Antique Archaeology', 'Early Medieval Archaeology', 'Late Antiquity', 'Procopius', 'Justinian I, Emperor', 'late antique Rome', 'Roman Archaeology']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,"Germanico nel contesto politico di età Giulio Claudia La figura, il carisma, la memoria. Perugia 21-22 novembre 2019","L'ERMA di BRETSCHNEIDER, Publisher","['History', 'Ancient History', 'Classics', 'Roman History', 'Historia', 'Ancient Rome', 'Storia Romana', 'Classics: Ancient History and Archaeology', 'Storia', 'Historia de Roma', 'Estudios Clásicos', 'Storia Antica', ""Scienze dell'Antichità"", 'Germanicus', 'Klassische Archäologie', 'Classical Studies']"
History,Ancient History,https://www.academia.edu/Documents/in/Ancient_History?f_fri=,RECONCILING CATHOLICISM WITH THE CLASSICS: MYTHOLOGY IN FRENCH CANADIAN CATHOLIC EDUCATION,Alex  McAuley,"['Ancient History', 'Mythology', 'Canadian History', 'History of Roman Catholicism', 'Classical Reception Studies', 'Roman Catholicism', 'Catholic Religious Education']"
